tables,scores
table-1000-57,1514
table-0288-531,1490
table-0288-530,1464
table-1020-619,1464
table-0875-680,1426
table-1423-774,1362
table-1042-895,1331
table-1203-868,1312
table-1203-836,1276
table-0464-505,1267
table-0216-970,1233
table-0216-976,1233
table-0370-614,1230
table-0037-411,1189
table-0904-852,1164
table-0914-101,1164
table-0168-741,1134
table-0255-236,1121
table-0063-827,1106
table-0914-103,1090
table-0730-168,1053
table-0389-400,1035
table-1071-345,1020
table-0552-510,990
table-0552-511,990
table-0554-923,990
table-0377-686,970
